ID,CLIENT,APP_ID,RELEASE_DATE,RELEASE_VERSION,DB_NAME,RELEASE_WHO,ENVIRONMENT,BUILD_NUMBER
306,Albemarle,alb,"2017-09-29",17.7.0.74,OT67.WORLD,jraj,QA,
307,BP,bp,"2017-09-29",17.7.0.74,OT66.WORLD,jraj,QA,
308,RyderHP,hp,"2017-09-29",17.7.0.74,OT61.WORLD,jraj,QA,
309,Raytheon,rtn,"2017-10-03",17.7.0.75,OT81.WORLD,rgodavarthy,QA,
310,Pandora,pt,"2017-10-03",17.7.0.75,OT29.WORLD,rgodavarthy,QA,
311,BDS,bds,"2017-10-05",17.7.0.78,OT16.WORLD,jraj,QA,
312,Siemens,sms,"2017-10-06",17.7.0.81,OT00.WORLD,rgodavarthy,QA,
313,Nike,nke,"2017-10-23",17.8.0.12,OT65.WORLD,rgodavarthy,QA,
314,BDS,bds,"2017-10-24",17.7.0.78,OP16.WORLD,rgodavarthy,Production,
315,Siemens,sms,"2017-10-25",17.7.0.85,OT00.WORLD,vshekar,QA,
316,Nike,nke,"2017-08-28",17.7.0.8,OT65.WORLD,vshekar,QA,
317,New-Era,sp,"2017-09-06",17.6.0.33,OP08.WORLD,jraj,Production,
318,Albemarle,alb,"2017-09-15",17.7.0.43,OP67.WORLD,rgodavarthy,Production,
319,Disney,sp2,"2017-10-11",17.8.0.2,OT10.WORLD,vshekar,QA,
320,Meritor,mtor,"2017-10-18",17.8.0.6,OT69.WORLD,jraj,QA,
321,Meritor,mtor,"2017-10-19",17.8.0.6,OP69.WORLD,jraj,Production,
322,IDS,ids,"2017-10-21",17.7.0.72,OP11.WORLD,rgodavarthy,Production,
323,Siemens,sms,"2017-10-29",17.7.0.85,OP00.WORLD,vshekar,Production,
324,JLG,jlg,"2017-11-17",17.8.0.33,OT49.WORLD,rgodavarthy,QA,
325,Nike,nke,"2017-08-21",17.6.0.31,OT65.WORLD,jraj,QA,
326,Boeing-Supplier-Portal,bsp,"2017-08-21",17.6.0.31,OT15.WORLD,jraj,QA,
327,Albemarle,alb,"2017-08-28",17.7.0.8,OT67.WORLD,vshekar,QA,
328,Johnson-Controls,jci,"2017-08-29",17.7.0.8,OT69.WORLD,vshekar,QA,
329,Disney,sp2,"2017-09-26",17.7.0.68,OT10.WORLD,jraj,QA,
330,Meritor,mtor,"2017-09-13",17.7.0.35,OT69.WORLD,rgodavarthy,QA,
331,Disney,sp2,"2017-09-22",17.7.0.66,OT10.WORLD,vshekar,QA,
332,Comcast,cst,"2017-10-04",17.7.0.78,OT09.WORLD,jraj,QA,
333,BDS,bds,"2017-10-05",17.7.0.78,OT16.WORLD,rgodavarthy,QA,
334,JLG,jlg,"2017-11-20",17.8.0.40,OP49.WORLD,vshekar,Production,
335,Service-Parts,sp,"2017-08-17",17.6.0.28,OT08.WORLD,jraj,QA,
336,Disney,sp2,"2017-11-17",17.8.0.36,OT10.WORLD,rgodavarthy,QA,
337,Disney,sp2,"2017-11-21",17.8.0.41,OT10.WORLD,vshekar,QA,
338,Disney,sp2,"2017-11-29",17.9.0.0,OT10.WORLD,jraj,QA,
339,Nike,nke,"2017-09-25",17.8.0.2,OT65.WORLD,jraj,QA,
